账期,账单大类,业务大类,业务小类,订单号,子订单号,下单时间,确认收货时间,商品ID,sku,商品名称,数量,单价（元）,订单实际金额（元）,退款单号,退款金额（元）,收/付渠道,业务流水号,商户订单号,打款时间,打款更新时间,备注
20260319	,货款收入	,交易货款	,五金/工具	,4502116370070039009	,4502116370070039009	,2026-03-08 18:05:53	,2026-03-19 15:50:02	,965517205874	,6016029152235|颜色分类#3B310N 4.0A/20V 【俩电标配+22*42防爆套筒】[YPEX-DBS/4.0CGB-TQ]	,天旗防爆电动扳手套筒无刷大扭力轮胎汽修防爆冲击扳手	,2	,1099	,1658	,	,0	,支付宝	,2026030823001137031456794403	,T200P4502116370070039009	,2026-03-19 15:50:02	,2026-03-19 15:50:02	,	
20260326	,货款收入	,交易货款	,五金/工具	,4502125080031202514	,4502125080031202514	,2026-03-15 09:00:10	,2026-03-26 21:39:57	,937006851899	,6182111287814|颜色分类#3B310N 5.0A/20V【俩电标配+22*42防爆套筒】[YPEX-DBS/5.0CGB-TQ]	,天旗防爆电动扳手化工厂石油套筒无刷大扭力轮胎汽修防爆电动工具	,1	,1199	,829	,	,0	,支付宝	,2026031522001193881459466369	,T200P4502125080031202514	,2026-03-26 21:39:57	,2026-03-26 21:39:57	,	
20260319	,货款收入	,交易货款	,五金/工具	,3283064151199956871	,3283064151199956871	,2026-03-08 13:17:41	,2026-03-19 15:24:20	,965517205874	,6016029152228|颜色分类#3B310N 5.0A/20V【俩电标配+22*42防爆套筒】[YPEX-DBS/5.0CGB-TQ]	,天旗防爆电动扳手套筒无刷大扭力轮胎汽修防爆冲击扳手	,1	,1199	,849	,	,0	,支付宝	,2026030822001172271447621537	,T200P3283064151199956871	,2026-03-19 15:24:19	,2026-03-19 15:24:19	,	
20260314	,货款收入	,交易货款	,其他	,5093404742735276332	,5093404742735276332	,2026-03-03 10:25:39	,2026-03-14 18:46:57	,884576851638	,	,补差价链接【与客服沟通拍下，单排不发货】	,1	,195	,195	,	,0	,支付宝	,2026030322001164951424752059	,T200P5093404742735276332	,2026-03-14 18:46:56	,2026-03-14 18:46:56	,	
20260321	,货款收入	,交易货款	,五金/工具	,3288984674853185777	,3288984674853185777	,2026-03-11 13:24:45	,2026-03-21 15:48:47	,965517205874	,6016029152228|颜色分类#3B310N 5.0A/20V【俩电标配+22*42防爆套筒】[YPEX-DBS/5.0CGB-TQ]	,天旗防爆电动扳手套筒无刷大扭力轮胎汽修防爆冲击扳手	,1	,1199	,849	,	,0	,聚合结算账户渠道	,4346902584202603111551790209	,	,2026-03-21 15:48:47	,2026-03-21 15:48:47	,	
20260310	,货款收入	,交易货款	,五金/工具	,5087266923986209633	,5087266923986209633	,2026-02-27 20:08:52	,2026-03-10 16:21:37	,965517205874	,6016029152228|颜色分类#3B310N 5.0A/20V【俩电标配+22*42防爆套筒】[YPEX-DBS/5.0CGB-TQ]	,天旗防爆电动扳手套筒无刷大扭力轮胎汽修防爆冲击扳手	,2	,1199	,1698	,	,0	,聚合结算账户渠道	,4325302473202602276955202625	,	,2026-03-10 16:21:37	,2026-03-10 16:21:37	,	
20260311	,货款收入	,交易货款	,五金/工具	,4502105535017015505	,4502105535017015505	,2026-03-09 20:30:21	,2026-03-11 20:21:52	,937006851899	,6182111287814|颜色分类#3B310N 5.0A/20V【俩电标配+22*42防爆套筒】[YPEX-DBS/5.0CGB-TQ]	,天旗防爆电动扳手化工厂石油套筒无刷大扭力轮胎汽修防爆电动工具	,3	,1199	,2487	,	,0	,支付宝	,2026030923001128431405106730	,T200P4502105535017015505	,2026-03-11 20:21:52	,2026-03-11 20:21:52	,	
20260317	,货款收入	,交易货款	,其他	,4502107299023002904	,4502107299023002904	,2026-03-07 09:09:37	,2026-03-17 10:07:07	,884576851638	,	,补差价链接【与客服沟通拍下，单排不发货】	,1	,25	,25	,	,0	,支付宝	,2026030722001195291431535991	,T200P4502107299023002904	,2026-03-17 10:07:07	,2026-03-17 10:07:07	,	
20260321	,货款收入	,交易货款	,五金/工具	,4502112806169008031	,4502112806169008031	,2026-03-11 09:34:56	,2026-03-21 10:17:03	,965517205874	,6016029152228|颜色分类#3B310N 5.0A/20V【俩电标配+22*42防爆套筒】[YPEX-DBS/5.0CGB-TQ]	,天旗防爆电动扳手套筒无刷大扭力轮胎汽修防爆冲击扳手	,2	,1199	,1698	,	,0	,支付宝	,2026031123001148611428386487	,T200P4502112806169008031	,2026-03-21 10:17:02	,2026-03-21 10:17:02	,	
20260308	,货款收入	,交易货款	,五金/工具	,5096554563047822328	,5096554563047822328	,2026-03-05 11:47:27	,2026-03-08 19:48:06	,965517205874	,6016029152228|颜色分类#3B310N 5.0A/20V【俩电标配+22*42防爆套筒】[YPEX-DBS/5.0CGB-TQ]	,天旗防爆电动扳手套筒无刷大扭力轮胎汽修防爆冲击扳手	,1	,1199	,849	,	,0	,聚合结算账户渠道	,4324402579202603050661940790	,	,2026-03-08 19:48:06	,2026-03-08 19:48:06	,	
